trade_id,order_id,symbol,side,price,quantity,timestamp,commission
TRD_000001,ORD_000001,IF,buy,4034.7999999999997,1,2023-02-17,27.84012
TRD_000002,ORD_000002,IF,sell,4146.6,1,2023-02-20,28.61154
TRD_000003,ORD_000003,IF,buy,3965.7999999999997,1,2023-03-10,27.36402
TRD_000004,ORD_000004,IF,sell,4044.4,1,2023-03-23,27.90636
TRD_000005,ORD_000005,IF,sell,4091.0,1,2023-04-03,28.2279
TRD_000006,ORD_000006,IF,buy,3970.3999999999996,1,2023-04-25,27.39576
TRD_000007,ORD_000007,IF,buy,3970.3999999999996,1,2023-04-25,27.39576
TRD_000008,ORD_000008,IF,sell,4057.8,1,2023-05-08,27.99882
TRD_000009,ORD_000009,IF,buy,3896.3999999999996,1,2023-05-23,26.88516
TRD_000010,ORD_000010,IF,sell,3862.4,1,2023-06-13,26.65056
TRD_000011,ORD_000011,IF,sell,3957.8,1,2023-06-16,27.30882
TRD_000012,ORD_000012,IF,buy,3834.0,1,2023-06-21,26.4546
TRD_000013,ORD_000013,IF,sell,3926.2000000000003,1,2023-07-25,27.09078
TRD_000014,ORD_000014,IF,buy,3735.0,1,2023-08-21,25.7715
TRD_000015,ORD_000015,IF,buy,3735.0,1,2023-08-21,25.7715
TRD_000016,ORD_000016,IF,sell,3826.0,1,2023-09-05,26.3994
TRD_000017,ORD_000017,IF,buy,3629.0,1,2023-10-16,25.0401
TRD_000018,ORD_000018,IF,sell,3587.8,1,2023-11-03,24.75582
TRD_000019,ORD_000019,IF,buy,3517.3999999999996,1,2023-11-27,24.27006
